Time,IMF_Bz_nT
2024-05-10T00:00:00Z,-2.2
2024-05-10T00:01:00Z,-2.08
2024-05-10T00:02:00Z,-2.08
2024-05-10T00:03:00Z,-2.18
2024-05-10T00:04:00Z,-2.19
2024-05-10T00:05:00Z,-2.2
2024-05-10T00:06:00Z,-2.22
2024-05-10T00:07:00Z,-2.18
2024-05-10T00:08:00Z,-2.18
2024-05-10T00:09:00Z,-2.02
2024-05-10T00:10:00Z,-1.83
2024-05-10T00:11:00Z,-1.83
2024-05-10T00:12:00Z,-2.74
2024-05-10T00:13:00Z,-2.88
2024-05-10T00:14:00Z,-2.89
2024-05-10T00:15:00Z,-2.96
2024-05-10T00:16:00Z,-2.99
2024-05-10T00:17:00Z,
2024-05-10T00:18:00Z,-3.1
2024-05-10T00:19:00Z,-2.9
2024-05-10T00:20:00Z,-2.83
2024-05-10T00:21:00Z,-3.12
2024-05-10T00:22:00Z,-2.93
2024-05-10T00:23:00Z,-2.88
2024-05-10T00:24:00Z,-2.77
2024-05-10T00:25:00Z,-3.13
2024-05-10T00:26:00Z,-3.52
2024-05-10T00:27:00Z,-3.54
2024-05-10T00:28:00Z,-3.49
2024-05-10T00:29:00Z,-3.51
2024-05-10T00:30:00Z,-3.65
2024-05-10T00:31:00Z,-3.47
2024-05-10T00:32:00Z,-3.18
2024-05-10T00:33:00Z,-3.29
2024-05-10T00:34:00Z,-3.4
2024-05-10T00:35:00Z,-3.49
2024-05-10T00:36:00Z,-3.46
2024-05-10T00:37:00Z,-3.55
2024-05-10T00:38:00Z,-3.55
2024-05-10T00:39:00Z,-3.58
2024-05-10T00:40:00Z,-3.69
2024-05-10T00:41:00Z,-3.61
2024-05-10T00:42:00Z,-3.59
2024-05-10T00:43:00Z,-3.65
2024-05-10T00:44:00Z,-3.7
2024-05-10T00:45:00Z,-3.82
2024-05-10T00:46:00Z,-4.02
2024-05-10T00:47:00Z,-3.94
2024-05-10T00:48:00Z,-3.71
2024-05-10T00:49:00Z,-3.58
2024-05-10T00:50:00Z,-3.64
2024-05-10T00:51:00Z,-3.64
2024-05-10T00:52:00Z,-3.63
2024-05-10T00:53:00Z,-3.91
2024-05-10T00:54:00Z,-3.7
2024-05-10T00:55:00Z,-3.81
2024-05-10T00:56:00Z,-3.94
2024-05-10T00:57:00Z,-3.72
2024-05-10T00:58:00Z,-3.84
2024-05-10T00:59:00Z,-3.77
2024-05-10T01:00:00Z,-3.82
2024-05-10T01:01:00Z,-3.72
2024-05-10T01:02:00Z,-3.93
2024-05-10T01:03:00Z,-3.87
2024-05-10T01:04:00Z,-3.99
2024-05-10T01:05:00Z,-4.11
2024-05-10T01:06:00Z,-4.09
2024-05-10T01:07:00Z,-3.37
2024-05-10T01:08:00Z,-3.84
2024-05-10T01:09:00Z,-3.67
2024-05-10T01:10:00Z,-3.31
2024-05-10T01:11:00Z,-3.4
2024-05-10T01:12:00Z,-2.97
2024-05-10T01:13:00Z,-2.88
2024-05-10T01:14:00Z,-3.28
2024-05-10T01:15:00Z,-3.19
2024-05-10T01:16:00Z,-3.46
2024-05-10T01:17:00Z,-3.68
2024-05-10T01:18:00Z,-3.88
2024-05-10T01:19:00Z,-3.63
2024-05-10T01:20:00Z,-4.01
2024-05-10T01:21:00Z,-3.51
2024-05-10T01:22:00Z,-3.78
2024-05-10T01:23:00Z,-2.9
2024-05-10T01:24:00Z,-3.25
2024-05-10T01:25:00Z,-3.17
2024-05-10T01:26:00Z,-3.2
2024-05-10T01:27:00Z,-3.14
2024-05-10T01:28:00Z,-3.34
2024-05-10T01:29:00Z,-3.11
2024-05-10T01:30:00Z,-2.93
2024-05-10T01:31:00Z,-3.69
2024-05-10T01:32:00Z,-3.75
2024-05-10T01:33:00Z,-3.14
2024-05-10T01:34:00Z,-2.94
2024-05-10T01:35:00Z,-3.31
2024-05-10T01:36:00Z,-3.24
2024-05-10T01:37:00Z,-3.45
2024-05-10T01:38:00Z,-4.54
2024-05-10T01:39:00Z,-3.18
2024-05-10T01:40:00Z,-4.82
2024-05-10T01:41:00Z,-4.95
2024-05-10T01:42:00Z,-5.35
2024-05-10T01:43:00Z,-4.41
2024-05-10T01:44:00Z,-3.52
2024-05-10T01:45:00Z,-3.74
2024-05-10T01:46:00Z,-3.58
2024-05-10T01:47:00Z,-3.55
2024-05-10T01:48:00Z,-3.45
2024-05-10T01:49:00Z,-3.79
2024-05-10T01:50:00Z,-2.56
2024-05-10T01:51:00Z,-3.19
2024-05-10T01:52:00Z,-4.36
2024-05-10T01:53:00Z,-3.6
2024-05-10T01:54:00Z,-3.63
2024-05-10T01:55:00Z,-3.67
2024-05-10T01:56:00Z,-3.54
2024-05-10T01:57:00Z,-4.01
2024-05-10T01:58:00Z,-3.85
2024-05-10T01:59:00Z,-4.38
2024-05-10T02:00:00Z,-4.71
2024-05-10T02:01:00Z,-3.34
2024-05-10T02:02:00Z,-3.9
2024-05-10T02:03:00Z,-3.7
2024-05-10T02:04:00Z,-3.98
2024-05-10T02:05:00Z,-3.22
2024-05-10T02:06:00Z,-3.32
2024-05-10T02:07:00Z,-3.82
2024-05-10T02:08:00Z,-3.56
2024-05-10T02:09:00Z,-2.3
2024-05-10T02:10:00Z,-3.68
2024-05-10T02:11:00Z,-3.39
2024-05-10T02:12:00Z,-2.23
2024-05-10T02:13:00Z,-1.15
2024-05-10T02:14:00Z,1.61
2024-05-10T02:15:00Z,1.79
2024-05-10T02:16:00Z,1.7
2024-05-10T02:17:00Z,1.62
2024-05-10T02:18:00Z,1.73
2024-05-10T02:19:00Z,1.57
2024-05-10T02:20:00Z,-0.86
2024-05-10T02:21:00Z,1.41
2024-05-10T02:22:00Z,1.26
2024-05-10T02:23:00Z,0.48
2024-05-10T02:24:00Z,0.61
2024-05-10T02:25:00Z,1.62
2024-05-10T02:26:00Z,1.57
2024-05-10T02:27:00Z,1.52
2024-05-10T02:28:00Z,1.98
2024-05-10T02:29:00Z,1.72
2024-05-10T02:30:00Z,1.71
2024-05-10T02:31:00Z,1.93
2024-05-10T02:32:00Z,1.88
2024-05-10T02:33:00Z,1.92
2024-05-10T02:34:00Z,1.94
2024-05-10T02:35:00Z,1.98
2024-05-10T02:36:00Z,2.0
2024-05-10T02:37:00Z,2.11
2024-05-10T02:38:00Z,2.46
2024-05-10T02:39:00Z,2.48
2024-05-10T02:40:00Z,2.42
2024-05-10T02:41:00Z,2.54
2024-05-10T02:42:00Z,2.62
2024-05-10T02:43:00Z,2.64
2024-05-10T02:44:00Z,2.38
2024-05-10T02:45:00Z,2.5
2024-05-10T02:46:00Z,2.71
2024-05-10T02:47:00Z,2.61
2024-05-10T02:48:00Z,2.64
2024-05-10T02:49:00Z,2.7
2024-05-10T02:50:00Z,2.76
2024-05-10T02:51:00Z,2.79
2024-05-10T02:52:00Z,2.99
2024-05-10T02:53:00Z,3.18
2024-05-10T02:54:00Z,2.35
2024-05-10T02:55:00Z,3.16
2024-05-10T02:56:00Z,3.14
2024-05-10T02:57:00Z,2.9
2024-05-10T02:58:00Z,3.09
2024-05-10T02:59:00Z,2.64
2024-05-10T03:00:00Z,2.58
2024-05-10T03:01:00Z,2.58
2024-05-10T03:02:00Z,2.66
2024-05-10T03:03:00Z,3.04
2024-05-10T03:04:00Z,2.89
2024-05-10T03:05:00Z,3.87
2024-05-10T03:06:00Z,3.86
2024-05-10T03:07:00Z,3.93
2024-05-10T03:08:00Z,3.3
2024-05-10T03:09:00Z,3.5
2024-05-10T03:10:00Z,3.87
2024-05-10T03:11:00Z,4.06
2024-05-10T03:12:00Z,2.18
2024-05-10T03:13:00Z,0.79
2024-05-10T03:14:00Z,-1.82
2024-05-10T03:15:00Z,-2.84
2024-05-10T03:16:00Z,-5.05
2024-05-10T03:17:00Z,-5.03
2024-05-10T03:18:00Z,-5.07
2024-05-10T03:19:00Z,-5.11
2024-05-10T03:20:00Z,-5.11
2024-05-10T03:21:00Z,-5.12
2024-05-10T03:22:00Z,-4.98
2024-05-10T03:23:00Z,-5.08
2024-05-10T03:24:00Z,-4.8
2024-05-10T03:25:00Z,-4.46
2024-05-10T03:26:00Z,-4.6
2024-05-10T03:27:00Z,-4.56
2024-05-10T03:28:00Z,-5.34
2024-05-10T03:29:00Z,-5.27
2024-05-10T03:30:00Z,-5.23
2024-05-10T03:31:00Z,-5.11
2024-05-10T03:32:00Z,-5.21
2024-05-10T03:33:00Z,-5.72
2024-05-10T03:34:00Z,-5.68
2024-05-10T03:35:00Z,-5.07
2024-05-10T03:36:00Z,-4.71
2024-05-10T03:37:00Z,-4.83
2024-05-10T03:38:00Z,-4.76
2024-05-10T03:39:00Z,-4.85
2024-05-10T03:40:00Z,-4.96
2024-05-10T03:41:00Z,-4.99
2024-05-10T03:42:00Z,-4.83
2024-05-10T03:43:00Z,-4.79
2024-05-10T03:44:00Z,-4.82
2024-05-10T03:45:00Z,-4.96
2024-05-10T03:46:00Z,-4.77
2024-05-10T03:47:00Z,-4.74
2024-05-10T03:48:00Z,-4.77
2024-05-10T03:49:00Z,-4.87
2024-05-10T03:50:00Z,-4.93
2024-05-10T03:51:00Z,-4.99
2024-05-10T03:52:00Z,-4.99
2024-05-10T03:53:00Z,-5.05
2024-05-10T03:54:00Z,-4.9
2024-05-10T03:55:00Z,
2024-05-10T03:56:00Z,-4.87
2024-05-10T03:57:00Z,-2.79
2024-05-10T03:58:00Z,-4.03
2024-05-10T03:59:00Z,-2.8
2024-05-10T04:00:00Z,-3.15
2024-05-10T04:01:00Z,-4.4
2024-05-10T04:02:00Z,-3.8
2024-05-10T04:03:00Z,-3.84
2024-05-10T04:04:00Z,-4.41
2024-05-10T04:05:00Z,-3.51
